Taxa,currentCanonicalFull,usageKey,acceptedUsageKey,speciesKey,confidence,matchType,status,canonicalName,scientificName,kingdom,phylum,class,order,family,genus,species,rank,gbif_speciesKey
Abax parallelepipedus,Abax parallelepipedus,5754772,NA,5754772,99,EXACT,ACCEPTED,Abax parallelepipedus,"Abax parallelepipedus (Piller & Mitterpacher, 1783)",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Abax,Abax parallelepipedus,SPECIES,5754772
Abdera affinis,Abdera affinis,4453554,NA,4453554,99,EXACT,ACCEPTED,Abdera affinis,"Abdera affinis (Paykull, 1799)",Animalia,Arthropoda,Insecta,Coleoptera,Melandryidae,Abdera,Abdera affinis,SPECIES,4453554
Abdera biflexuosa,Abdera biflexuosa,7984899,NA,7984899,99,EXACT,ACCEPTED,Abdera biflexuosa,"Abdera biflexuosa (Curtis, 1829)",Animalia,Arthropoda,Insecta,Coleoptera,Melandryidae,Abdera,Abdera biflexuosa,SPECIES,7984899
Abdera flexuosa,Abdera flexuosa,4453551,NA,4453551,99,EXACT,ACCEPTED,Abdera flexuosa,"Abdera flexuosa (Paykull, 1799)",Animalia,Arthropoda,Insecta,Coleoptera,Melandryidae,Abdera,Abdera flexuosa,SPECIES,4453551
Abgrallaspis cyanophylli,Abgrallaspis cyanophylli,7561279,NA,7561279,97,EXACT,ACCEPTED,Abgrallaspis cyanophylli,"Abgrallaspis cyanophylli (Signoret, 1869)",Animalia,Arthropoda,Insecta,Hemiptera,Diaspididae,Abgrallaspis,Abgrallaspis cyanophylli,SPECIES,7561279
Abia aenea,Abia aenea,8305113,NA,8305113,99,EXACT,ACCEPTED,Abia aenea,"Abia aenea (Klug, 1820)",Animalia,Arthropoda,Insecta,Hymenoptera,Cimbicidae,Abia,Abia aenea,SPECIES,8305113
Abia fasciata,Abia fasciata,5759491,NA,5759491,99,EXACT,ACCEPTED,Abia fasciata,"Abia fasciata (Linnaeus, 1758)",Animalia,Arthropoda,Insecta,Hymenoptera,Cimbicidae,Abia,Abia fasciata,SPECIES,5759491
Abia lonicerae,Abia lonicerae,5759485,NA,5759485,99,EXACT,ACCEPTED,Abia lonicerae,"Abia lonicerae (Linnaeus, 1758)",Animalia,Arthropoda,Insecta,Hymenoptera,Cimbicidae,Abia,Abia lonicerae,SPECIES,5759485
Abia mutica,Abia mutica,7980543,NA,7980543,99,EXACT,ACCEPTED,Abia mutica,"Abia mutica Thomson, 1871",Animalia,Arthropoda,Insecta,Hymenoptera,Cimbicidae,Abia,Abia mutica,SPECIES,7980543
Abia sericea,Abia sericea,5759492,NA,5759492,99,EXACT,ACCEPTED,Abia sericea,"Abia sericea (Linnaeus, 1767)",Animalia,Arthropoda,Insecta,Hymenoptera,Cimbicidae,Abia,Abia sericea,SPECIES,5759492
