landuse,coarse_cell_id,ExistingNatureContact,ExistingNatureContactM
ForestDryPoor,2635,0,0
ForestDryPoor,2926,0,0
ForestDryPoor,2927,0,0
ForestDryPoor,2928,0,0
ForestDryPoor,2929,0,0
ForestDryPoor,2930,0,0
ForestDryPoor,2931,0,0
ForestDryPoor,2932,0,0
ForestDryPoor,3220,0,0
ForestDryPoor,3221,0,0
ForestDryPoor,3222,0,0
ForestDryPoor,3223,0,0
ForestDryPoor,3224,0,0
ForestDryPoor,3225,0,0
ForestDryPoor,3226,0,0
ForestDryPoor,3227,0,0
ForestDryPoor,3228,0,0
ForestDryPoor,3514,0,0
ForestDryPoor,3515,0,0
ForestDryPoor,3516,0,0
ForestDryPoor,3517,0,0
ForestDryPoor,3518,0,0
ForestDryPoor,3519,0,0
ForestDryPoor,3520,0,0
ForestDryPoor,3521,0,0
ForestDryPoor,3522,0,0
ForestDryPoor,3523,0,0
ForestDryPoor,3524,0,0
ForestDryPoor,3809,0,0
ForestDryPoor,3810,0,0
ForestDryPoor,3811,0,0
ForestDryPoor,3812,0,0
ForestDryPoor,3813,0,0
ForestDryPoor,3814,0,0
ForestDryPoor,3815,0,0
ForestDryPoor,3816,0,0
ForestDryPoor,3817,0,0
ForestDryPoor,3818,0,0
ForestDryPoor,3819,0,0
ForestDryPoor,3821,0,0
ForestDryPoor,4103,0,0
ForestDryPoor,4104,0,0
ForestDryPoor,4105,0,0
ForestDryPoor,4106,0,0
ForestDryPoor,4107,0,0
ForestDryPoor,4108,0,0
ForestDryPoor,4109,0,0
ForestDryPoor,4110,0,0
ForestDryPoor,4111,0,0
ForestDryPoor,4112,0,0
ForestDryPoor,4113,0,0
ForestDryPoor,4114,0,0
ForestDryPoor,4398,0,0
ForestDryPoor,4399,0,0
ForestDryPoor,4400,0,0
ForestDryPoor,4401,0,0
ForestDryPoor,4402,0,0
ForestDryPoor,4403,0,0
ForestDryPoor,4404,0,0
ForestDryPoor,4405,0,0
ForestDryPoor,4406,0,0
ForestDryPoor,4407,0,0
ForestDryPoor,4408,0,0
ForestDryPoor,4409,0,0
ForestDryPoor,4693,0,0
ForestDryPoor,4694,0,0
ForestDryPoor,4695,0,0
ForestDryPoor,4696,0,0
ForestDryPoor,4697,0,0
ForestDryPoor,4698,0,0
ForestDryPoor,4699,0,0
ForestDryPoor,4700,0,0
ForestDryPoor,4701,0,0
ForestDryPoor,4702,0,0
ForestDryPoor,4703,0,0
ForestDryPoor,4704,0,0
ForestDryPoor,4988,0,0
ForestDryPoor,4989,0,0
ForestDryPoor,4990,0,0
ForestDryPoor,4991,0,0
ForestDryPoor,4992,0,0
ForestDryPoor,4993,0,0
ForestDryPoor,4994,0,0
