coarse_cell_id,original_landuse,landuse,IsProductionForestCell,forest_rule_repair
2932,OpenWetRich,OpenWetRich,0,FALSE
3222,OpenWetRich,OpenWetRich,0,FALSE
3223,OpenWetRich,OpenWetRich,0,FALSE
3224,OpenWetRich,OpenWetRich,0,FALSE
3225,OpenWetRich,OpenWetRich,0,FALSE
3226,OpenWetRich,OpenWetRich,0,FALSE
3227,OpenWetRich,OpenWetRich,0,FALSE
3228,OpenWetRich,OpenWetRich,0,FALSE
3516,OpenWetRich,OpenWetRich,0,FALSE
3517,OpenWetRich,OpenWetRich,0,FALSE
3518,OpenWetRich,OpenWetRich,0,FALSE
3519,OpenWetRich,OpenWetRich,0,FALSE
3520,OpenWetRich,OpenWetRich,0,FALSE
3521,OpenWetRich,OpenWetRich,0,FALSE
3522,OpenWetRich,OpenWetRich,0,FALSE
3523,OpenWetRich,OpenWetRich,0,FALSE
3524,OpenWetRich,OpenWetRich,0,FALSE
3811,OpenWetRich,OpenWetRich,0,FALSE
3812,OpenWetRich,OpenWetRich,0,FALSE
3813,OpenWetRich,OpenWetRich,0,FALSE
3814,OpenWetRich,OpenWetRich,0,FALSE
3815,OpenWetRich,OpenWetRich,0,FALSE
3816,OpenWetRich,OpenWetRich,0,FALSE
3817,OpenWetRich,OpenWetRich,0,FALSE
3818,OpenWetRich,OpenWetRich,0,FALSE
3819,OpenWetRich,OpenWetRich,0,FALSE
4106,OpenWetRich,OpenWetRich,0,FALSE
4107,OpenWetRich,OpenWetRich,0,FALSE
4108,OpenWetRich,OpenWetRich,0,FALSE
4109,OpenWetRich,OpenWetRich,0,FALSE
4110,OpenWetRich,OpenWetRich,0,FALSE
4111,OpenWetRich,OpenWetRich,0,FALSE
4112,OpenWetRich,OpenWetRich,0,FALSE
4113,OpenWetRich,OpenWetRich,0,FALSE
4114,OpenWetRich,OpenWetRich,0,FALSE
4401,OpenWetRich,OpenWetRich,0,FALSE
4402,OpenWetRich,OpenWetRich,0,FALSE
4403,OpenWetRich,OpenWetRich,0,FALSE
4404,OpenWetRich,OpenWetRich,0,FALSE
4405,OpenWetRich,OpenWetRich,0,FALSE
4406,OpenWetRich,OpenWetRich,0,FALSE
4407,OpenWetRich,OpenWetRich,0,FALSE
4408,OpenWetRich,OpenWetRich,0,FALSE
4409,OpenWetRich,OpenWetRich,0,FALSE
4703,OpenWetRich,OpenWetRich,0,FALSE
4704,OpenWetRich,OpenWetRich,0,FALSE
4998,OpenWetRich,OpenWetRich,0,FALSE
5298,OpenWetRich,OpenWetRich,0,FALSE
5299,OpenWetRich,OpenWetRich,0,FALSE
5592,ForestWetRich,ForestWetRich,1,FALSE
5593,ForestWetRich,ForestWetRich,1,FALSE
5594,OpenWetRich,OpenWetRich,0,FALSE
5595,OpenWetRich,OpenWetRich,0,FALSE
5888,ForestWetRich,ForestWetRich,1,FALSE
5889,OpenWetRich,OpenWetRich,0,FALSE
5890,OpenWetRich,OpenWetRich,0,FALSE
5891,OpenWetRich,OpenWetRich,0,FALSE
6165,OpenWetRich,OpenWetRich,0,FALSE
6166,OpenWetRich,OpenWetRich,0,FALSE
6167,OpenWetRich,OpenWetRich,0,FALSE
6183,ForestWetRich,ForestWetRich,1,FALSE
6184,ForestWetRich,ForestWetRich,1,FALSE
6185,OpenWetRich,OpenWetRich,0,FALSE
6186,OpenWetRich,OpenWetRich,0,FALSE
6188,OpenWetRich,OpenWetRich,0,FALSE
6189,OpenWetRich,OpenWetRich,0,FALSE
6461,OpenWetRich,OpenWetRich,0,FALSE
6462,OpenWetRich,OpenWetRich,0,FALSE
6463,OpenWetRich,OpenWetRich,0,FALSE
6478,ForestWetRich,ForestWetRich,1,FALSE
6479,ForestWetRich,ForestWetRich,1,FALSE
6481,OpenWetRich,OpenWetRich,0,FALSE
6482,OpenWetRich,OpenWetRich,0,FALSE
6483,OpenWetRich,OpenWetRich,0,FALSE
6486,OpenWetRich,OpenWetRich,0,FALSE
6487,OpenWetRich,OpenWetRich,0,FALSE
6754,OpenWetRich,OpenWetRich,0,FALSE
6755,OpenWetRich,OpenWetRich,0,FALSE
6756,OpenWetRich,OpenWetRich,0,FALSE
6757,OpenWetRich,OpenWetRich,0,FALSE
6758,OpenWetRich,OpenWetRich,0,FALSE
6773,OpenWetRich,OpenWetRich,0,FALSE
6774,OpenWetRich,OpenWetRich,0,FALSE
6776,OpenWetRich,OpenWetRich,0,FALSE
6777,OpenWetRich,OpenWetRich,0,FALSE
6781,OpenWetRich,OpenWetRich,0,FALSE
7050,OpenWetRich,OpenWetRich,0,FALSE
7051,OpenWetRich,OpenWetRich,0,FALSE
7052,OpenWetRich,OpenWetRich,0,FALSE
7053,OpenWetRich,OpenWetRich,0,FALSE
7068,OpenWetRich,OpenWetRich,0,FALSE
7069,OpenWetRich,OpenWetRich,0,FALSE
7341,OpenDryPoor,OpenDryPoor,0,FALSE
7344,OpenWetRich,OpenWetRich,0,FALSE
7345,OpenWetRich,OpenWetRich,0,FALSE
7346,OpenWetRich,OpenWetRich,0,FALSE
7347,OpenWetRich,OpenWetRich,0,FALSE
7348,OpenWetRich,OpenWetRich,0,FALSE
7363,ForestWetPoor,ForestWetPoor,1,FALSE
7364,ForestWetPoor,ForestWetPoor,0,FALSE
7365,ForestWetPoor,ForestWetPoor,1,FALSE
7366,ForestWetPoor,ForestWetPoor,1,FALSE
7638,OpenWetRich,OpenWetRich,0,FALSE
7639,OpenWetRich,OpenWetRich,0,FALSE
7640,OpenWetRich,OpenWetRich,0,FALSE
7641,OpenWetRich,OpenWetRich,0,FALSE
7642,OpenWetRich,OpenWetRich,0,FALSE
7643,OpenWetRich,OpenWetRich,0,FALSE
7658,ForestWetPoor,ForestWetPoor,1,FALSE
7659,ForestWetPoor,ForestWetPoor,0,FALSE
7660,ForestWetPoor,ForestWetPoor,0,FALSE
7661,ForestWetPoor,ForestWetPoor,0,FALSE
7933,OpenWetRich,OpenWetRich,0,FALSE
7934,OpenWetRich,OpenWetRich,0,FALSE
7935,OpenWetRich,OpenWetRich,0,FALSE
7936,OpenWetRich,OpenWetRich,0,FALSE
7937,OpenWetRich,OpenWetRich,0,FALSE
7952,OpenWetRich,OpenWetRich,0,FALSE
7953,OpenDryPoor,OpenDryPoor,0,FALSE
7954,OpenDryPoor,OpenDryPoor,0,FALSE
7955,OpenDryPoor,OpenDryPoor,0,FALSE
7956,OpenDryPoor,OpenDryPoor,0,FALSE
8229,OpenWetRich,OpenWetRich,0,FALSE
8230,OpenWetRich,OpenWetRich,0,FALSE
8231,OpenWetRich,OpenWetRich,0,FALSE
8246,OpenWetRich,OpenWetRich,0,FALSE
8247,OpenWetRich,OpenWetRich,0,FALSE
8248,OpenDryPoor,OpenDryPoor,0,FALSE
8249,OpenDryPoor,OpenDryPoor,0,FALSE
8250,OpenDryPoor,OpenDryPoor,0,FALSE
8251,OpenDryPoor,OpenDryPoor,0,FALSE
8524,OpenWetRich,OpenWetRich,0,FALSE
8525,OpenWetRich,OpenWetRich,0,FALSE
8540,OpenWetRich,OpenWetRich,0,FALSE
8541,OpenWetRich,OpenWetRich,0,FALSE
8542,OpenWetRich,OpenWetRich,0,FALSE
8543,OpenDryPoor,OpenDryPoor,0,FALSE
8544,OpenDryPoor,OpenDryPoor,0,FALSE
8819,OpenWetRich,OpenWetRich,0,FALSE
8820,OpenWetRich,OpenWetRich,0,FALSE
8834,OpenWetRich,OpenWetRich,0,FALSE
8835,OpenWetRich,OpenWetRich,0,FALSE
8836,OpenWetRich,OpenWetRich,0,FALSE
8837,OpenWetRich,OpenWetRich,0,FALSE
8838,OpenDryPoor,OpenDryPoor,0,FALSE
8839,OpenDryPoor,OpenDryPoor,0,FALSE
9129,OpenWetRich,OpenWetRich,0,FALSE
9130,OpenWetRich,OpenWetRich,0,FALSE
9131,OpenWetRich,OpenWetRich,0,FALSE
9132,OpenWetRich,OpenWetRich,0,FALSE
9133,OpenDryPoor,OpenDryPoor,0,FALSE
9408,OpenWetRich,OpenWetRich,0,FALSE
9409,OpenWetRich,OpenWetRich,0,FALSE
9423,OpenWetRich,OpenWetRich,0,FALSE
9424,OpenWetRich,OpenWetRich,0,FALSE
9425,OpenWetRich,OpenWetRich,0,FALSE
9426,OpenDryPoor,OpenDryPoor,0,FALSE
9427,OpenWetRich,OpenWetRich,0,FALSE
9703,OpenWetRich,OpenWetRich,0,FALSE
9717,OpenWetRich,OpenWetRich,0,FALSE
9718,OpenWetRich,OpenWetRich,0,FALSE
9719,OpenWetRich,OpenWetRich,0,FALSE
9720,OpenWetRich,OpenWetRich,0,FALSE
10010,OpenWetRich,OpenWetRich,0,FALSE
10011,OpenWetRich,OpenWetRich,0,FALSE
10012,OpenWetRich,OpenWetRich,0,FALSE
10013,OpenWetRich,OpenWetRich,0,FALSE
10014,OpenWetRich,OpenWetRich,0,FALSE
10015,OpenDryPoor,OpenDryPoor,0,FALSE
10293,OpenWetRich,OpenWetRich,0,FALSE
10304,OpenWetRich,OpenWetRich,0,FALSE
10305,OpenWetRich,OpenWetRich,0,FALSE
10306,OpenWetRich,OpenWetRich,0,FALSE
10307,OpenWetRich,OpenWetRich,0,FALSE
10597,OpenWetRich,OpenWetRich,0,FALSE
10598,OpenWetRich,OpenWetRich,0,FALSE
10599,OpenWetRich,OpenWetRich,0,FALSE
10600,OpenWetRich,OpenWetRich,0,FALSE
10601,OpenWetRich,OpenWetRich,0,FALSE
10602,OpenWetRich,OpenWetRich,0,FALSE
10878,OpenWetRich,OpenWetRich,0,FALSE
10879,OpenWetRich,OpenWetRich,0,FALSE
10892,OpenWetRich,OpenWetRich,0,FALSE
10893,OpenWetRich,OpenWetRich,0,FALSE
10894,ForestWetPoor,ForestWetPoor,0,FALSE
10895,ForestWetPoor,ForestWetPoor,1,FALSE
10896,ForestWetPoor,ForestWetPoor,1,FALSE
10897,ForestWetPoor,ForestWetPoor,1,FALSE
11169,OpenDryPoor,OpenDryPoor,0,FALSE
11170,OpenWetRich,OpenWetRich,0,FALSE
11172,OpenWetRich,OpenWetRich,0,FALSE
11173,OpenWetRich,OpenWetRich,0,FALSE
11174,OpenWetRich,OpenWetRich,0,FALSE
11186,OpenWetRich,OpenWetRich,0,FALSE
11187,OpenWetRich,OpenWetRich,0,FALSE
11188,OpenWetRich,OpenWetRich,0,FALSE
11189,ForestWetPoor,ForestWetPoor,1,FALSE
11190,ForestWetPoor,ForestWetPoor,1,FALSE
11191,ForestWetPoor,ForestWetPoor,1,FALSE
11464,OpenWetRich,OpenWetRich,0,FALSE
11465,OpenWetRich,OpenWetRich,0,FALSE
11466,OpenWetRich,OpenWetRich,0,FALSE
11467,OpenWetRich,OpenWetRich,0,FALSE
11468,OpenWetRich,OpenWetRich,0,FALSE
11481,OpenWetRich,OpenWetRich,0,FALSE
11482,OpenWetRich,OpenWetRich,0,FALSE
11483,OpenWetRich,OpenWetRich,0,FALSE
11484,ForestWetPoor,ForestWetPoor,1,FALSE
11485,ForestWetPoor,ForestWetPoor,0,FALSE
11486,ForestWetPoor,ForestWetPoor,1,FALSE
11487,ForestWetPoor,ForestWetPoor,1,FALSE
11757,OpenWetRich,OpenWetRich,0,FALSE
11758,OpenWetRich,OpenWetRich,0,FALSE
11759,OpenWetRich,OpenWetRich,0,FALSE
11761,OpenWetRich,OpenWetRich,0,FALSE
11762,OpenWetRich,OpenWetRich,0,FALSE
