patch_id,ExistingPatchAreaHa
48243,1.65
48447,18.94
48481,0.68
48493,0.02
48494,1.45
48498,0.01
48503,0.02
48510,45.44
48544,1.66
48608,0.94
48665,2.86
48682,0.66
48699,0.56
48760,1.03
48834,0.45
48846,0.02
48852,1.44
48891,0.02
48930,0.1
48954,0.09
48986,0.03
49012,0.02
49029,1.92
49040,0.02
49088,9.36
49368,0.01
49398,2.56
49406,0.36
49411,1.63
49421,0.01
49426,0.01
49432,14.93
49505,89.52
49657,0.59
49661,0.01
49718,0.76
49741,0.52
49766,0.88
49775,3.4
49779,0.41
49922,13.79
49955,0.36
49980,0.01
49985,1.02
50001,2.87
50016,0.09
50034,0.01
50041,0.02
50045,0.04
50046,0.02
50049,7.39
50050,1.54
50072,0.06
50086,0.02
50096,1.26
50097,0.38
50102,0.02
50123,0.02
50131,6
50133,0.02
50165,0.01
50176,0.1
50190,0.02
50200,0.02
50210,2.25
50212,0.02
50222,0.01
50223,0.01
50227,0.83
50229,0.02
50231,0.01
50239,0.02
50243,0.01
50248,0.08
50260,0.02
50325,9.86
50351,2.86
50373,30.96
50672,0.01
50705,9.13
50724,0.02
50890,3.76
50983,0.59
51056,0.02
51067,0.02
51091,0.01
51108,0.01
51159,0.06
51169,0.04
51170,0.01
51171,0.04
51183,0.01
51196,0.01
51255,0.11
51291,0.03
51356,0.06
51376,1.76
51400,0.01
51414,0.01
51441,0.61
51442,0.13
51572,4.56
51581,0.34
51641,0.79
51729,2.38
51811,0.05
51815,3.25
51941,7.95
51964,3.28
52034,0.21
52133,0.04
52647,45.16
52935,2.29
52953,0.01
52974,0.28
52978,0.6
53012,17.41
53667,2.86
54156,13.07
54318,20.74
54604,0.02
54618,0.01
54635,1.49
54897,0.72
55127,1.26
55223,16.68
55723,4.87
55798,62.88
56160,1.78
56192,0.02
56204,0.46
56213,0.06
56340,0.23
56355,5.73
56371,93.44
56397,10.66
56419,0.55
56432,4.5
56437,8.55
56499,4.35
56654,0.01
56694,4.66
56723,29.38
56739,14.83
56827,2.1
56860,0.86
56905,3.38
56908,15.11
56910,59.86
56928,0.04
56935,0.68
56944,7.88
56955,1.54
56962,30
56971,2.02
57004,0.07
57034,0.76
57036,0.05
57040,7.15
57044,1.09
57052,0.87
57062,3.68
57080,0.01
57093,47
57106,2.6
57109,7.34
57129,2.09
57223,13.27
57225,1.57
57264,3.39
57355,0.72
57395,0.43
57431,2.4
57439,14.52
57460,1.01
57573,0.01
57579,0.32
57584,0.01
57592,7.57
57598,3.74
57600,34.44
57630,0.01
57633,1.24
57639,0.01
57642,5.5
57651,5.34
57659,1.55
57660,0.02
57706,1.17
57796,3.67
57806,0.01
57820,4.55
57891,12.24
57963,0.1
57974,1.05
57982,2.68
57991,5.61
58048,0.01
58082,1.4
58107,21.65
58109,2.45
58119,0.29
58162,2.04
58180,1.41
58189,0.22
58224,3.59
58319,2.77
58331,0.01
58338,0.01
58347,0.01
58370,2.91
58386,0.01
58416,2.21
58451,80.99
58472,0.9
58486,1.74
58536,28.94
58556,5.03
58583,4.03
58621,0.01
58676,13.24
58777,3.58
58797,9.46
58865,10.31
58875,39.76
58955,0.81
58973,0.03
58975,7.99
58980,3.15
59013,0.83
59082,12.49
59120,25.44
59200,0.01
59205,0.01
59206,4.61
59224,0.61
59228,2.57
59244,8.39
59251,3.21
59302,1.55
59506,12.22
59579,16.14
59602,1.75
59718,0.02
59736,0.27
59903,14.7
60155,7.69
60259,14.15
60277,0.68
60340,1.79
60446,0.01
60460,2.66
60756,0.01
60790,0.09
60808,0.01
60817,0.02
60829,0.11
60837,0.01
60838,79.74
60845,0.01
60856,2.26
60866,0.02
60874,0.01
60884,1.05
60892,8.21
60898,3.57
60900,0.89
60930,7.27
60977,0.01
60982,0.01
60993,0.02
61000,0.01
61015,1.62
61032,0.01
61042,0.01
61059,0.01
61060,0.08
61071,0.06
61087,5.33
61092,5.5
61127,0.01
61132,1.13
61138,0.03
61146,0.01
61154,5.58
61157,0.02
61207,15.29
61286,4.31
61358,0.01
61381,6.55
61384,1.73
61552,0.01
61605,2.95
61715,0.7
61799,3.68
61888,5.47
61947,1.18
61948,2.44
61985,0.35
62029,8.97
62051,1.49
62068,0.59
62089,0.03
62149,1.62
62207,2.35
62245,1.18
62248,2.64
62259,0.1
62387,1.05
62419,0.46
62445,0.01
62469,0.23
62491,0.1
62522,2.77
62545,6
62563,1.32
62608,1.39
62613,9.34
62633,0.76
62650,4.76
62660,55.85
62680,0.01
62705,0.12
62722,0.03
62764,0.75
62773,0.03
62777,0.01
62783,0.04
62796,4.74
62831,1.6
62836,0.33
62873,0.12
62889,0.76
62906,4.03
62908,0.24
62947,43.21
62978,0.01
62982,3.73
62991,13.57
63001,0.14
63006,0.02
63010,0.01
63012,65.34
63029,1.55
63048,3.97
63051,0.01
63054,7.92
63056,0.27
63063,1.44
63071,20.06
63074,0.64
63085,0.13
63095,1.69
63096,1.32
63126,2.08
63139,0.01
63141,0.01
63154,4.16
63161,0.01
63163,0.8
63189,5.94
63192,0.15
63199,1.28
63214,1.52
63220,0.36
63231,1.49
63254,1.31
63259,0.01
63266,0.03
63267,62.56
63275,0.01
63288,3.34
63290,8.21
63296,0.01
63300,1.81
63309,0.04
63315,0.21
63329,0.01
63333,7.4
63334,1.47
63336,1.51
63340,0.01
63345,7.8
63346,0.01
63347,0.01
63351,0.03
63357,0.01
63371,0.5
63372,1.45
63376,0.43
63392,2.65
63400,9.02
63417,4.73
63424,0.65
63429,7.39
63450,5.18
63455,1.62
63457,0.31
63465,0.73
63470,4.15
63493,0.5
63530,0.6
63536,1.73
63553,10.33
63560,0.45
63570,23.38
63573,1
63584,2.59
63588,10.79
63606,0.01
63624,3.78
63633,0.01
63636,0.02
63666,0.56
63688,4.4
63693,0.3
63742,6.77
63750,5.22
63766,7.63
63774,0.72
63820,4.21
63847,2.67
63860,6.36
63895,0.16
63940,2.27
63973,1.59
63975,0.01
63978,0.01
63991,0.01
63996,0.01
63998,3.73
