path,size,modified
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Datasets/FinalLanduse.tif,2267855,1788851317.5952377
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Predictors/gudenaa_optimization/Landuse_Gudenaa_200m_hierarchical.tif,41521,1788806797.29043
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Datasets/gudenaaplanen_afgreansning_15sep_delområder.shp,2625756,1789461128.5766125
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Datasets/gudenaaplanen_afgreansning_15sep_delområder.shx,132,1789461128.5967655
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Datasets/gudenaaplanen_afgreansning_15sep_delområder.dbf,3438,1789461128.4850883
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Datasets/gudenaaplanen_afgreansning_15sep_delområder.prj,403,1789461128.502573
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Predictors/gudenaa_optimization/Current_nature_patches_Denmark_10m.gpkg,183050240,1788850160.486412
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Predictors/gudenaa_optimization/Current_nature_patch_dictionary_Denmark.csv,3240384,1788850165.409687
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Results/gudenaa_plant_biodiversity/full/metrics/Richness_current.tif,18054074,1788680342.9467487
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Gudenaa_30pct_anchored_networks_200m.mod,11389,1789483411.0499172
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Optimization/gudenaa_new_area_200m_30pct_existing_adjacency/gudenaa_new_area_200m_30pct_existing_adjacency_selected_cells.tsv,128480,1789471313.9297352
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Optimization/gudenaa_new_area_200m_30pct_existing_adjacency/gudenaa_new_area_200m_30pct_existing_adjacency_solution_summary.tsv,619,1789471315.4525452
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Optimization/gudenaa_new_area_200m_30pct_existing_adjacency/candidate_cell_dictionary.csv,345253,1789471501.0979328
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Optimization/gudenaa_new_area_200m_30pct_existing_adjacency/candidate_area_by_subarea.csv,139903,1789471501.8168182
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Optimization/gudenaa_new_area_200m_30pct_existing_adjacency/candidate_rook_edges.csv,91479,1789471502.9447136
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Optimization/gudenaa_new_area_200m_30pct_existing_adjacency/subarea_30pct_budget.csv,843,1789471500.371357
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Optimization/gudenaa_new_area_200m_30pct_existing_adjacency/existing_nature_contact_by_action.csv,970199,1789471504.5255032
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Optimization/gudenaa_new_area_200m_30pct/coarse_biodiversity_benefits.rds,327035,1789463633.3540783
