coarse_cell_id,patch_id
4103,47441
4704,47761
4998,47761
5292,48447
5298,48510
5299,48510
5587,48447
5592,49505
5595,48510
5881,48447
5890,48510
5891,48510
6175,48447
6183,49505
6187,48510
6188,48510
6189,48017
6189,48018
6189,48510
6470,48243
6470,48447
6478,49505
6486,48510
6487,48107
6487,48510
6764,48243
6764,48447
6773,49505
7059,48243
7059,48447
7068,49505
7341,48336
7341,48337
7341,48341
7341,48347
7341,48358
7353,48447
7363,49505
7658,49505
7936,48481
7936,48544
7937,48481
7940,50373
7941,48493
7941,48498
7941,48503
7941,50373
7942,48459
7942,48464
7942,48465
7942,48467
7942,48471
7942,48473
7942,48475
7942,48477
7942,48480
7942,48484
7942,48487
7942,48490
7942,48491
7942,48493
7942,48498
7952,49505
7956,48494
8229,48608
8230,48608
8231,48544
8232,48544
8234,50373
8246,49505
8247,49505
8250,48665
8251,48494
8524,48608
8524,48699
8525,48608
8525,48682
8528,50373
8540,49505
8544,48665
8819,48682
8819,48699
8820,48682
8822,50373
8834,49505
8835,49505
8839,48665
8839,48760
9116,48834
9133,48852
9408,48846
9408,48891
9408,48930
9408,50373
9409,50373
9410,50373
9411,50373
9423,49505
9426,49088
9427,49088
9703,48930
9703,48954
9717,49505
9719,48986
9719,49012
9719,49029
9720,49029
9720,49088
10010,49505
10011,49505
10014,49029
10014,49040
10015,49088
10293,50373
10304,49505
10305,49505
10582,49411
10582,49432
10588,50373
10597,49505
10598,49505
10878,49312
10878,49432
10879,49432
10883,50373
10892,49505
11169,49368
11169,49398
11169,49406
11169,49411
11169,49421
11169,49426
11170,49411
11170,49432
11172,49432
11173,49432
11174,49432
11178,50373
11186,49505
11481,49505
11758,49922
11759,49657
11759,49661
11759,49922
11775,49775
12051,49922
12052,49922
12053,49766
12053,49922
12054,49661
12054,49766
12054,49779
12055,49741
12055,49779
12056,49718
12062,50373
12070,49775
12346,49922
12348,49766
12348,49922
12349,49766
12349,49779
12350,49779
12364,49775
12364,50049
12640,50131
12641,49922
12641,50131
12642,49922
12642,49980
12642,50131
12643,49922
12643,50001
12644,50001
12645,49985
12647,50016
12647,50050
12648,50050
12649,50050
12651,50373
12658,49955
12658,50049
12659,50049
12661,50049
12935,50131
12937,50131
12937,50325
12938,50001
12939,50001
12939,50325
12942,50016
12942,50034
12942,50045
12942,50046
12942,50050
12942,50072
12942,50086
12942,50102
12942,50123
12942,50133
12942,50210
12942,50373
12943,50041
12943,50047
12943,50050
12943,50210
12943,50373
12944,50041
12944,50050
12946,50373
12952,50124
12952,50705
12954,50049
12954,50096
12955,50049
12955,50096
12956,50049
12959,50097
13231,50325
13233,50325
13234,50222
13234,50325
13237,50133
13237,50176
13237,50190
13237,50200
13237,50212
13237,50229
13237,50243
13237,50260
13237,50351
13237,50373
13239,50210
13239,50223
13239,50231
13239,50248
13239,50373
13240,50373
13247,50705
13250,50165
13250,50227
13250,50239
13254,50225
13527,50325
13528,50325
13529,50325
13532,50260
13532,50275
13532,50288
13532,50301
13532,50321
13532,50340
13532,50351
13532,52647
13543,50705
13826,52647
13838,50705
14121,52647
14133,50705
14413,50672
14413,50890
14416,52647
14426,50705
14427,50705
14708,50890
14720,50724
14720,53012
14728,50790
15003,50890
15005,52647
15014,53012
15022,50983
15300,52647
15308,50977
15308,50992
15308,51008
15308,51023
15308,53012
15317,50983
15595,52647
15603,51056
15603,51067
15603,51091
15603,51108
15603,53012
15610,51159
15610,51169
15611,51159
15611,51169
15611,51171
15611,51376
15612,51064
15612,51128
15612,51376
15889,51255
15889,51572
15890,51255
15890,52647
15896,53012
15897,51170
15897,51183
15897,51196
15897,53012
15905,51169
15906,51169
15906,51171
15906,51291
15906,51376
15907,51376
16183,51572
16184,51572
16185,51356
16185,51442
16191,51581
16201,51376
16201,51400
16201,51414
16201,51441
16202,51441
16478,51572
16478,51815
16479,51572
16479,51815
16486,51581
16490,51641
16491,51641
16495,51729
16496,51729
16769,51941
16770,51941
16771,51941
16773,51815
16774,51815
16785,51641
16786,51641
16790,51729
17064,51941
