network_name,coarse_cell_id
Global,83542
Global,83543
Global,83841
Global,83842
Global,83843
Global,84136
Global,84138
Global,84430
Global,84431
Global,84432
Global,84433
Global,84443
Global,84444
Global,84445
Global,84446
Global,84448
Global,84449
Global,84450
Global,84731
Global,84734
Global,84736
Global,84737
Global,84738
Global,84739
Global,84740
Global,84741
Global,84742
Global,84743
Global,84744
Global,84745
Global,85022
Global,85024
Global,85025
Global,85026
Global,85027
Global,85028
Global,85029
Global,85037
Global,85038
Global,85039
Global,85040
Global,85041
Global,85318
Global,85319
Global,85323
Global,85330
Global,85331
Global,85332
Global,85333
Global,85334
Global,85337
Global,85616
Global,85617
Global,85618
Global,85619
Global,85620
Global,85621
Global,85629
Global,85631
Global,85632
Global,85633
Global,85909
Global,85912
Global,85913
Global,85914
Global,85915
Global,85916
Global,85917
Global,85918
Global,85927
Global,85928
Global,85929
Global,85930
Global,85931
Global,86208
Global,86209
Global,86210
Global,86212
Global,86213
Global,86214
Global,86221
Global,86222
Global,86225
Global,86227
Global,86228
Global,86229
Global,86242
Global,86503
Global,86504
Global,86505
Global,86506
Global,86508
Global,86509
Global,86510
Global,86511
Global,86516
Global,86517
Global,86522
Global,86523
Global,86524
Global,86525
Global,86536
Global,86537
Global,86805
Global,86806
Global,86807
Global,86808
Global,86819
Global,86820
Global,86821
Global,86822
Global,86823
Global,86830
Global,86835
Global,87104
Global,87113
Global,87114
Global,87116
Global,87117
Global,87118
Global,87119
Global,87123
Global,87124
Global,87125
Global,87127
Global,87130
Global,87131
Global,87132
Global,87408
Global,87409
Global,87411
Global,87412
Global,87413
Global,87414
Global,87415
Global,87416
Global,87417
Global,87418
Global,87419
Global,87420
Global,87421
Global,87423
Global,87424
Global,87425
Global,87427
Global,87428
Global,87705
Global,87707
Global,87711
Global,87712
Global,87713
Global,87714
Global,87715
Global,87716
Global,87717
Global,87718
Global,87719
Global,87720
Global,87722
Global,87723
Global,88003
Global,88008
Global,88009
Global,88010
Global,88011
Global,88012
Global,88013
Global,88014
Global,88015
Global,88018
Global,88304
Global,88305
Global,88306
Global,88307
Global,88308
Global,88309
Global,88310
Global,88600
Global,88601
Global,88602
Global,88603
Global,88604
Global,88605
Global,88606
Global,88895
Global,88896
Global,88897
Global,88898
Global,88899
Global,88900
Global,88901
Global,89191
Global,89192
Global,89194
Global,89195
Global,89196
Global,89486
Global,89487
Global,89489
Global,89490
Global,89491
Global,89782
Global,89783
Global,89784
Global,89785
Global,89786
Global,89787
Global,90077
Global,90078
Global,90079
Global,90080
Global,90081
Global,90082
Global,90372
Global,90373
Global,90374
Global,90375
Global,90376
Global,90377
Global,90378
Global,90379
Global,90380
Global,90382
Global,90383
Global,90384
Global,90385
Global,90386
Global,90667
Global,90668
Global,90669
Global,90670
Global,90671
Global,90672
Global,90673
Global,90674
Global,90675
Global,90676
Global,90677
Global,90678
Global,90679
Global,90680
Global,90681
Global,90682
Global,90974
Global,90975
Global,90976
Global,90977
Global,91270
Global,91271
Global,91272
Global,91566
Global,91567
Global,91861
Global,91862
Global,92156
Global,92157
Global,92451
Global,92452
Global,92747
Global,93042
Global,93043
Global,93044
Global,93045
Global,93046
Global,93053
Global,93338
Global,93339
Global,93343
Global,93348
Global,93636
Global,93637
Global,93638
Global,93639
Global,93640
Global,93931
Global,93933
Global,93934
Global,93935
Global,93936
Global,94226
Global,94231
Global,94232
Global,94508
Global,94521
Global,94797
Global,94798
Global,95093
Global,95094
Global,95095
Global,95096
Global,95111
Global,95406
Global,95678
Global,95701
Global,95973
Global,95995
Global,96268
Global,96289
Global,96290
Global,96582
Global,96583
Global,96584
Global,97739
Global,98031
Global,98326
Global,99209
Global,99504
Global,99799
Global,100092
Global,100682
Global,101865
Global,102753
Global,103048
Global,103049
Global,103050
Global,105412
Global,106593
Global,107478
Global,108954
Global,108955
Global,108956
Global,109248
Global,109249
Global,109543
Global,109838
Global,110133
Global,110428
Global,110723
Global,111018
Global,111313
Global,111594
Global,111607
Global,111608
Global,111889
Global,111900
Global,112183
Global,112184
Global,112193
Global,112194
Global,112195
Global,112478
Global,112479
Global,112488
Global,112772
Global,112773
Global,112774
Global,113067
Global,113068
Global,113069
Global,113361
Global,113362
Global,113363
Global,113364
Global,113651
Global,113655
Global,113656
Global,113657
Global,113658
Global,113659
Global,113660
Global,113946
Global,113947
Global,113948
Global,113950
Global,113951
Global,113952
Global,113953
Global,113954
Global,113955
Global,114240
Global,114241
Global,114242
Global,114243
Global,114244
Global,114245
Global,114246
Global,114247
Global,114248
Global,114249
Global,114250
Global,114538
Global,114539
Global,114540
Global,114541
Global,114543
Global,114544
Global,114545
Global,114838
Global,114839
Global,114840
Global,114841
Global,114842
Global,114843
Global,115132
Global,115133
Global,115134
Global,115135
Global,115423
Global,115424
Global,115425
Global,115426
Global,115427
Global,115428
Global,115429
Global,115430
Global,115712
Global,115716
Global,115717
Global,115718
Global,115719
Global,115720
Global,115721
Global,115722
Global,115723
Global,115724
Global,116006
Global,116007
Global,116008
Global,116013
Global,116014
Global,116016
Global,116017
Global,116018
Global,116019
Global,116020
Global,116301
Global,116302
Global,116303
Global,116306
Global,116307
Global,116308
Global,116309
Global,116311
Global,116312
Global,116313
Global,116314
Global,116596
Global,116598
Global,116599
Global,116600
Global,116601
Global,116602
Global,116603
Global,116604
Global,116605
Global,116607
Global,116891
Global,116892
Global,116893
Global,116894
Global,116895
Global,116896
Global,116897
Global,116898
Global,116899
Global,116900
Global,116902
Global,117184
Global,117185
Global,117186
Global,117187
Global,117189
Global,117190
Global,117191
Global,117192
Global,117193
Global,117194
Global,117195
Global,117197
Global,117479
Global,117480
Global,117481
Global,117482
Global,117483
Global,117484
Global,117485
Global,117486
Global,117487
Global,117488
Global,117489
Global,117491
Global,117777
Global,117778
Global,117779
Global,117780
Global,117781
Global,117782
Global,117783
Global,117784
Global,117785
Global,118072
Global,118073
Global,118074
Global,118075
Global,118076
Global,118077
Global,118078
Global,118079
Global,118080
Global,118366
Global,118367
Global,118368
Global,118369
Global,118370
Global,118371
Global,118372
Global,118373
Global,118374
Global,118375
Global,118660
Global,118661
Global,118662
Global,118663
Global,118664
Global,118665
Global,118666
Global,118667
Global,118668
Global,118669
Global,118670
Global,118671
Global,118672
Global,118951
Global,118953
Global,118954
Global,118955
Global,118956
Global,118957
Global,118958
Global,118959
Global,118962
Global,118965
Global,118966
Global,118967
Global,118968
Global,118969
Global,118970
Global,118971
Global,118972
Global,119246
Global,119247
Global,119248
Global,119249
Global,119250
Global,119251
Global,119252
Global,119253
Global,119254
Global,119256
Global,119263
Global,119264
Global,119265
Global,119266
Global,119267
Global,119541
Global,119542
Global,119543
Global,119544
Global,119545
Global,119546
Global,119547
Global,119548
Global,119550
Global,119837
Global,119838
Global,119839
Global,119840
Global,119841
Global,119842
Global,119843
Global,119844
Global,120131
Global,120132
Global,120133
Global,120134
Global,120135
Global,120136
Global,120137
Global,120138
Global,120139
Global,120428
Global,120429
Global,120430
Global,120431
Global,120432
Global,120433
Global,120434
Global,120725
Global,120726
Global,120727
Global,120728
Global,120729
Global,120959
Global,121020
Global,121021
Global,121023
Global,121024
Global,121025
Global,121254
Global,121255
Global,121315
