network_name,child,parent,flow_ha,child_type,parent_type,child_id,parent_id
Global,c_83542,c_83543,2.8500000000000023,c,c,83542,83543
Global,p_84163,c_83543,0.03,p,c,84163,83543
Global,p_84208,c_83543,0.53,p,c,84208,83543
Global,p_84211,c_83543,0.03,p,c,84211,83543
Global,p_84239,c_83543,0.01,p,c,84239,83543
Global,p_84280,c_83543,0.23,p,c,84280,83543
Global,c_83543,p_84762,4.690000000000003,c,p,83543,84762
Global,p_84346,c_83841,0.32,p,c,84346,83841
Global,c_83841,c_84136,2.1700000000000017,c,c,83841,84136
Global,c_83842,c_83843,1.9400000000000015,c,c,83842,83843
Global,p_84625,c_84136,0.62,p,c,84625,84136
Global,p_84762,c_84430,18.200000000000003,p,c,84762,84430
Global,p_84767,c_84430,0.64,p,c,84767,84430
Global,p_84782,c_84430,0.01,p,c,84782,84430
Global,p_84811,c_84430,0.11,p,c,84811,84430
Global,p_84861,c_84430,0.71,p,c,84861,84430
Global,c_83843,c_84138,3.3400000000000025,c,c,83843,84138
Global,c_84136,c_84431,5.400000000000004,c,c,84136,84431
Global,c_84430,c_84431,21.910000000000007,c,c,84430,84431
Global,p_84627,c_84138,4.94,p,c,84627,84138
Global,c_84138,c_84433,9.810000000000004,c,c,84138,84433
Global,c_84431,c_84432,31.310000000000016,c,c,84431,84432
Global,p_84660,c_84433,0.08,p,c,84660,84433
Global,p_84753,c_84433,0.01,p,c,84753,84433
Global,p_84760,c_84433,0.01,p,c,84760,84433
Global,p_84788,c_84433,0.13,p,c,84788,84433
Global,c_84432,p_85049,34.81000000000002,c,p,84432,85049
Global,c_84433,p_85049,12.800000000000008,c,p,84433,85049
Global,p_84992,c_85022,0.01,p,c,84992,85022
Global,p_85049,c_85022,52.39000000000003,p,c,85049,85022
Global,p_85076,c_85022,0.39,p,c,85076,85022
Global,c_85022,p_85462,54.30000000000003,c,p,85022,85462
Global,p_84868,c_84731,0.29,p,c,84868,84731
Global,p_85137,c_85318,0.01,p,c,85137,85318
Global,p_85476,c_85909,0.01,p,c,85476,85909
Global,p_85517,c_85909,0.06,p,c,85517,85909
Global,c_84731,c_85026,2.290000000000002,c,c,84731,85026
Global,c_85318,c_85319,1.160000000000001,c,c,85318,85319
Global,c_85909,p_85703,1.9300000000000017,c,p,85909,85703
Global,p_84967,c_85026,0.11,p,c,84967,85026
Global,p_85127,c_85024,3.99,p,c,85127,85024
