patch_id,ExistingPatchAreaInsidePlanningHa,ExistingPatchAreaHa,ExistingPatchAreaOutsidePlanningHa,OutsideSharePercent
47441,0.090000537109375,1.47,1.379999462890625,93.87751448235542
47761,0.69000009765625,0.69,0,0
48017,0.09,0.09,0,0
48018,0.07,0.07,0,0
48107,0.01,0.01,0,0
48243,1.649999853515625,1.65,1.464843748522071e-7,8.877840900133764e-6
48336,0.00880009765625,0.01,0.00119990234375,11.999023437499998
48337,0.04100126953125,0.41,0.36899873046875,89.99969035823172
48341,0.014000244140625,0.02,0.005999755859375001,29.998779296875004
48347,0.004000244140625,0.01,0.005999755859375,59.99755859375
48358,0.001400146484375,0.04,0.038599853515625,96.49963378906249
48447,18.940000537109373,18.94,0,0
48459,0.01,0.01,0,0
48464,0.01,0.01,0,0
48465,0.009999951171875,0.01,4.88281249998862e-8,4.88281249998862e-4
48467,0.01,0.01,0,0
48471,0.01,0.01,0,0
48473,0.010000048828125,0.01,0,0
48475,0.01,0.01,0,0
48477,0.02,0.02,0,0
48480,0.009999951171875,0.01,4.88281249998862e-8,4.88281249998862e-4
48481,0.680000048828125,0.68,0,0
48484,0.019999951171875,0.02,4.8828125001620926e-8,2.4414062500810463e-4
48487,0.01,0.01,0,0
48490,0.01,0.01,0,0
48491,0.009999951171875,0.01,4.88281249998862e-8,4.88281249998862e-4
48493,0.02,0.02,0,0
48494,0.316397900390625,1.45,1.133602099609375,78.17945514547414
48498,0.01,0.01,0,0
48503,0.02,0.02,0,0
48510,40.580912255859374,45.44,4.8590877441406235,10.693414929886936
48544,1.66,1.66,0,0
48608,0.940000048828125,0.94,0,0
48665,2.86,2.86,0,0
48682,0.660000048828125,0.66,0,0
48699,0.559999951171875,0.56,4.882812509876544e-8,8.719308053350971e-6
48760,1.03,1.03,0,0
48834,0.450000048828125,0.45,0,0
48846,0.02,0.02,0,0
48852,1.347324560546875,1.44,0.09267543945312484,6.435794406467003
48891,0.020000048828125,0.02,0,0
48930,0.1,0.1,0,0
48954,0.090000048828125,0.09,0,0
48986,0.030000048828125,0.03,0,0
49012,0.02,0.02,0,0
49029,1.92,1.92,0,0
49040,0.02,0.02,0,0
49088,8.699761450195313,9.36,0.6602385498046868,7.053830660306484
49312,0.010000048828125,0.01,0,0
49368,0.008999853515625,0.01,0.0010001464843750005,10.001464843750005
49398,0.211600732421875,2.56,2.348399267578125,91.73434638977051
49406,0.35999990234375,0.36,9.765624997548628e-8,2.7126736104301744e-5
49411,1.56619970703125,1.63,0.06380029296874978,3.9141284029907846
49421,0.010000048828125,0.01,0,0
49426,0.01,0.01,0,0
49432,14.92999990234375,14.93,9.765624930935246e-8,6.540941012012891e-7
49505,89.52000004882812,89.52,0,0
49657,0.590000048828125,0.59,0,0
49661,0.010000048828125,0.01,0,0
49718,0.760000146484375,0.76,0,0
49741,0.519999951171875,0.52,4.882812498774314e-8,9.39002403610445e-6
49766,0.88,0.88,0,0
49775,3.40000009765625,3.4,0,0
49779,0.41000009765625,0.41,0,0
49922,13.789999951171875,13.79,4.882812376649781e-8,3.540835661094838e-7
49955,0.359999951171875,0.36,4.882812498774314e-8,1.3563368052150872e-5
49980,0.01,0.01,0,0
49985,1.02000009765625,1.02,0,0
50001,2.87000009765625,2.87,0,0
50016,0.09,0.09,0,0
50034,0.01,0.01,0,0
50041,0.02,0.02,0,0
50045,0.040000048828125,0.04,0,0
50046,0.020000048828125,0.02,0,0
50047,0.01,0.01,0,0
