network_name	coarse_cell_id	counted_area_ha	total_restorable_ha
Global	83542	2.85000000	2.85000000
Global	83543	1.01000000	1.01000000
Global	83841	1.85000000	1.85000000
Global	83842	1.94000000	1.94000000
Global	84136	2.61000000	2.61000000
Global	84137	3.75000000	3.75000000
Global	84138	1.53000000	1.53000000
Global	84430	2.24000000	2.24000000
Global	84431	4.00000000	4.00000000
Global	84432	3.50000000	3.50000000
Global	84433	2.76000000	2.76000000
Global	84443	1.62000000	1.62000000
Global	84444	1.68000000	1.68000000
Global	84445	1.28000000	1.28000000
Global	84446	1.15000000	1.15000000
Global	84448	1.97000000	1.97000000
Global	84449	1.54000000	1.54000000
Global	84731	2.00000000	2.00000000
Global	84734	1.92000000	1.92000000
Global	84736	1.88000000	1.88000000
Global	84737	3.26000000	3.26000000
Global	84738	2.32000000	2.32000000
Global	84739	2.59000000	2.59000000
Global	84740	2.82000000	2.82000000
Global	84741	3.31000000	3.31000000
Global	84742	3.27000000	3.27000000
Global	84743	2.66000000	2.66000000
Global	84744	2.83000000	2.83000000
Global	84746	1.66000000	1.66000000
Global	85022	1.51000000	1.51000000
Global	85025	2.92000000	2.92000000
Global	85026	3.19000000	3.19000000
Global	85027	2.97000000	2.97000000
Global	85028	2.92000000	2.92000000
Global	85029	2.28000000	2.28000000
Global	85030	2.35000000	2.35000000
Global	85031	1.59000000	1.59000000
Global	85032	2.30000000	2.30000000
Global	85038	2.97000000	2.97000000
Global	85039	3.69000000	3.69000000
Global	85040	3.74000000	3.74000000
Global	85041	3.57000000	3.57000000
Global	85318	1.15000000	1.15000000
Global	85319	1.38000000	1.38000000
Global	85323	2.39000000	2.39000000
Global	85330	2.11000000	2.11000000
Global	85331	2.56000000	2.56000000
Global	85332	1.72000000	1.72000000
Global	85333	1.54000000	1.54000000
Global	85334	2.43000000	2.43000000
Global	85337	2.80000000	2.80000000
Global	85616	1.18000000	1.18000000
Global	85617	2.80000000	2.80000000
Global	85618	2.04000000	2.04000000
Global	85619	2.10000000	2.10000000
Global	85620	3.55000000	3.55000000
Global	85621	1.72000000	1.72000000
Global	85629	1.03000000	1.03000000
Global	85632	1.56000000	1.56000000
Global	85633	1.60000000	1.60000000
Global	85909	1.86000000	1.86000000
Global	85912	2.80000000	2.80000000
Global	85913	3.01000000	3.01000000
Global	85914	2.82000000	2.82000000
Global	85915	2.35000000	2.35000000
Global	85916	2.93000000	2.93000000
Global	85917	3.29000000	3.29000000
Global	85918	2.55000000	2.55000000
Global	85927	1.11000000	1.11000000
Global	85928	1.45000000	1.45000000
Global	85929	1.60000000	1.60000000
Global	85930	2.10000000	2.10000000
Global	85931	1.87000000	1.87000000
Global	86208	3.01000000	3.01000000
Global	86209	1.10000000	1.10000000
Global	86210	3.32000000	3.32000000
Global	86212	2.92000000	2.92000000
Global	86213	3.27000000	3.27000000
Global	86214	1.83000000	1.83000000
Global	86221	2.26000000	2.26000000
Global	86222	2.60000000	2.60000000
Global	86225	1.00000000	1.00000000
Global	86227	1.92000000	1.92000000
Global	86228	2.00000000	2.00000000
Global	86241	1.18000000	1.18000000
Global	86504	1.20000000	1.20000000
Global	86505	1.78000000	1.78000000
Global	86509	3.48000000	3.48000000
Global	86510	1.12000000	1.12000000
Global	86511	2.23000000	2.23000000
Global	86516	1.57000000	1.57000000
Global	86517	1.59000000	1.59000000
Global	86524	2.80000000	2.80000000
Global	86536	2.44000000	2.44000000
Global	86805	1.52000000	1.52000000
Global	86806	1.49000000	1.49000000
Global	86807	1.18000000	1.18000000
Global	86819	2.64000000	2.64000000
Global	86821	3.64000000	3.64000000
Global	86822	1.17000000	1.17000000
Global	86823	2.00000000	2.00000000
Global	87102	1.23000000	1.23000000
Global	87104	1.65000000	1.65000000
Global	87113	2.16000000	2.16000000
Global	87114	1.54000000	1.54000000
Global	87117	3.91000000	3.91000000
Global	87118	3.50000000	3.50000000
Global	87119	2.16000000	2.16000000
