i,j
2635,2930
2926,2927
2926,3221
2927,2928
2927,3222
2928,2929
2928,3223
2929,2930
2929,3224
2930,2931
2930,3225
2931,2932
2931,3226
2932,3227
3220,3221
3220,3515
3221,3222
3221,3516
3222,3223
3222,3517
3223,3224
3223,3518
3224,3225
3224,3519
3225,3226
3225,3520
3226,3227
3226,3521
3227,3228
3227,3522
3228,3523
3514,3515
3514,3809
3515,3516
3515,3810
3516,3517
3516,3811
3517,3518
3517,3812
3518,3519
3518,3813
3519,3520
3519,3814
3520,3521
3520,3815
3521,3522
3521,3816
3522,3523
3522,3817
3523,3524
3523,3818
3524,3819
3809,3810
3809,4104
3810,3811
3810,4105
3811,3812
3811,4106
3812,3813
3812,4107
3813,3814
3813,4108
3814,3815
3814,4109
3815,3816
3815,4110
3816,3817
3816,4111
3817,3818
3817,4112
3818,3819
3818,4113
3819,4114
4103,4104
4103,4398
4104,4105
4104,4399
4105,4106
4105,4400
4106,4107
4106,4401
4107,4108
4107,4402
4108,4109
4108,4403
4109,4110
4109,4404
4110,4111
4110,4405
4111,4112
4111,4406
4112,4113
4112,4407
4113,4114
4113,4408
4114,4409
4398,4399
4398,4693
4399,4400
4399,4694
4400,4401
4400,4695
4401,4402
4401,4696
4402,4403
4402,4697
4403,4404
4403,4698
4404,4405
4404,4699
4405,4406
4405,4700
4406,4407
4406,4701
4407,4408
4407,4702
4408,4409
4408,4703
4409,4704
4693,4694
4693,4988
4694,4695
4694,4989
4695,4696
4695,4990
4696,4697
4696,4991
4697,4698
4697,4992
4698,4699
4698,4993
4699,4700
4699,4994
4700,4701
4700,4995
4701,4702
4701,4996
4702,4703
4702,4997
4703,4704
4703,4998
4988,4989
4988,5283
4989,4990
4989,5284
4990,4991
4990,5285
4991,4992
4991,5286
4992,4993
4992,5287
4993,4994
4993,5288
4994,4995
4994,5289
4995,4996
4995,5290
4996,4997
4996,5291
4997,4998
4997,5292
5282,5283
5283,5284
5283,5578
5284,5285
5284,5579
5285,5286
5285,5580
5286,5287
5286,5581
5287,5288
5287,5582
5288,5289
5288,5583
5289,5290
5289,5584
5290,5291
5290,5585
5291,5292
5291,5586
5292,5587
5298,5299
5298,5593
5299,5594
5578,5579
5578,5873
5579,5580
5579,5874
5580,5581
5580,5875
5581,5582
5581,5876
5582,5583
5582,5877
5583,5584
5583,5878
5584,5585
5584,5879
5585,5586
5585,5880
