path,size,modified
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Datasets/FinalLanduse.tif,2267855,1788851317.5952377
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Predictors/gudenaa_optimization/Landuse_Gudenaa_200m_hierarchical.tif,41521,1788806797.29043
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Datasets/gudenaaplanen_afgreansning_15sep_delområder.shp,2625756,1789461128.5766125
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Datasets/gudenaaplanen_afgreansning_15sep_delområder.shx,132,1789461128.5967655
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Datasets/gudenaaplanen_afgreansning_15sep_delområder.dbf,3438,1789461128.4850883
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Datasets/gudenaaplanen_afgreansning_15sep_delområder.prj,403,1789461128.502573
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Predictors/gudenaa_optimization/Current_nature_patches_Denmark_10m.gpkg,183050240,1788850160.486412
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Predictors/gudenaa_optimization/Current_nature_patch_dictionary_Denmark.csv,3240384,1788850165.409687
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Results/gudenaa_plant_biodiversity/full/metrics/Richness_current.tif,18054074,1788680342.9467487
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Gudenaa_global30_feasible_network_repair_200m.mod,12724,1789617016.9651775
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Optimization/gudenaa_new_area_200m_30pct_existing_adjacency_thr1_forest_rule/gudenaa_new_area_200m_30pct_existing_adjacency_thr1_forest_rule_selected_cells.tsv,160261,1789555717.6228905
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Optimization/gudenaa_new_area_200m_30pct_existing_adjacency_thr1_forest_rule/gudenaa_new_area_200m_30pct_existing_adjacency_thr1_forest_rule_solution_summary.tsv,619,1789555719.5004902
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Optimization/gudenaa_new_area_200m_30pct_existing_adjacency_thr1_forest_rule/candidate_cell_dictionary.csv,557289,1789555883.186201
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Optimization/gudenaa_new_area_200m_30pct_existing_adjacency_thr1_forest_rule/candidate_area_by_subarea.csv,191507,1789555884.1532974
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Optimization/gudenaa_new_area_200m_30pct_existing_adjacency_thr1_forest_rule/candidate_rook_edges.csv,138133,1789555885.663128
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Optimization/gudenaa_new_area_200m_30pct_existing_adjacency_thr1_forest_rule/subarea_30pct_budget.csv,841,1789555882.241394
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Optimization/gudenaa_new_area_200m_30pct_existing_adjacency_thr1_forest_rule/existing_nature_contact_by_action.csv,1328546,1789555887.326702
O:/Nat_Sustain-proj/_user/derekCorcoran_au687614/BiodiversitySignatureProjects/Optimization/gudenaa_new_area_200m_30pct_existing_adjacency_thr1_forest_rule/coarse_biodiversity_benefits.rds,448144,1789580137.9571285
