coarse_cell_id	landuse	restored_ha
2927	ForestDryPoor	2.04000000
5285	ForestDryPoor	3.54000000
5298	ForestDryPoor	3.05000000
5299	ForestDryPoor	2.78000000
5580	ForestDryPoor	3.85000000
5587	ForestDryPoor	1.84000000
5875	ForestDryPoor	3.53000000
5890	ForestDryPoor	1.46000000
6167	ForestDryPoor	1.73000000
6170	ForestDryPoor	3.90000000
6175	ForestDryPoor	2.85000000
6184	ForestDryPoor	2.65000000
6185	ForestDryPoor	3.12000000
6187	ForestDryPoor	2.72000000
6188	ForestDryPoor	2.77000000
6189	ForestDryPoor	1.32000000
6465	ForestDryPoor	3.77000000
6470	ForestDryPoor	2.01000000
6478	ForestDryPoor	2.84000000
6483	ForestDryPoor	1.68000000
6756	ForestDryPoor	2.98000000
6760	ForestDryPoor	3.83000000
6761	ForestDryPoor	3.84000000
6762	ForestDryPoor	3.83000000
7056	ForestDryPoor	3.63000000
7057	ForestDryPoor	3.90000000
7068	ForestDryPoor	2.72000000
7346	ForestDryPoor	3.37000000
7347	ForestDryPoor	3.18000000
7352	ForestDryPoor	3.91000000
7641	ForestDryPoor	3.27000000
7642	ForestDryPoor	3.81000000
7647	ForestDryPoor	3.56000000
7658	ForestDryPoor	3.44000000
7935	ForestDryPoor	3.72000000
7936	ForestDryPoor	3.39000000
7937	ForestDryPoor	3.20000000
7940	ForestDryPoor	2.60000000
7941	ForestDryPoor	2.00000000
7942	ForestDryPoor	1.39000000
8226	ForestDryPoor	3.06000000
8230	ForestDryPoor	2.92000000
8231	ForestDryPoor	1.99000000
8232	ForestDryPoor	3.72000000
8233	ForestDryPoor	3.62000000
8234	ForestDryPoor	3.66000000
8246	ForestDryPoor	1.84000000
8521	ForestDryPoor	1.82000000
8525	ForestDryPoor	2.77000000
8528	ForestDryPoor	3.20000000
8822	ForestDryPoor	1.96000000
9111	ForestDryPoor	3.33000000
9112	ForestDryPoor	2.61000000
9407	ForestDryPoor	3.07000000
9408	ForestDryPoor	2.64000000
9409	ForestDryPoor	2.63000000
9410	ForestDryPoor	3.33000000
9424	ForestDryPoor	3.85000000
10010	ForestDryPoor	1.94000000
10287	ForestDryPoor	1.71000000
10293	ForestDryPoor	3.19000000
10582	ForestDryPoor	3.67000000
10587	ForestDryPoor	4.00000000
10588	ForestDryPoor	3.40000000
10878	ForestDryPoor	1.36000000
10879	ForestDryPoor	2.37000000
11170	ForestDryPoor	2.44000000
11172	ForestDryPoor	2.72000000
11173	ForestDryPoor	2.56000000
11174	ForestDryPoor	1.80000000
11178	ForestDryPoor	1.92000000
11467	ForestDryPoor	3.86000000
11757	ForestDryPoor	1.30000000
11758	ForestDryPoor	3.02000000
11759	ForestDryPoor	3.03000000
11762	ForestDryPoor	3.56000000
11765	ForestDryPoor	3.96000000
11767	ForestDryPoor	3.99000000
11775	ForestDryPoor	1.07000000
12051	ForestDryPoor	1.34000000
12052	ForestDryPoor	1.09000000
12053	ForestDryPoor	1.16000000
12054	ForestDryPoor	3.19000000
12057	ForestDryPoor	3.59000000
12060	ForestDryPoor	3.82000000
12062	ForestDryPoor	2.68000000
12346	ForestDryPoor	1.15000000
12348	ForestDryPoor	2.68000000
12349	ForestDryPoor	3.72000000
12350	ForestDryPoor	3.81000000
12352	ForestDryPoor	3.81000000
12355	ForestDryPoor	3.80000000
12364	ForestDryPoor	2.85000000
12641	ForestDryPoor	1.86000000
12642	ForestDryPoor	2.46000000
12643	ForestDryPoor	2.48000000
12644	ForestDryPoor	1.77000000
12645	ForestDryPoor	2.85000000
12647	ForestDryPoor	3.07000000
12648	ForestDryPoor	3.29000000
12650	ForestDryPoor	3.84000000
12651	ForestDryPoor	3.50000000
12937	ForestDryPoor	2.63000000
12938	ForestDryPoor	3.43000000
12940	ForestDryPoor	3.17000000
12941	ForestDryPoor	2.94000000
12942	ForestDryPoor	2.07000000
12943	ForestDryPoor	1.50000000
12944	ForestDryPoor	3.95000000
12946	ForestDryPoor	2.31000000
12952	ForestDryPoor	1.18000000
12953	ForestDryPoor	3.85000000
12956	ForestDryPoor	3.13000000
12957	ForestDryPoor	3.06000000
13234	ForestDryPoor	2.01000000
13236	ForestDryPoor	3.02000000
13237	ForestDryPoor	2.99000000
13239	ForestDryPoor	3.57000000
13247	ForestDryPoor	1.12000000
13527	ForestDryPoor	2.83000000
13528	ForestDryPoor	3.00000000
13529	ForestDryPoor	3.63000000
13530	ForestDryPoor	3.69000000
13531	ForestDryPoor	3.55000000
